"Online_id","Valence","Arousal","Dominance","Wheel_slice","Wheel_strength"
1,4,4,3,11,3
1,8,3,3,3,4
1,5,1,1,3,2
1,5,3,5,3,1
1,7,1,7,7,1
1,7,5,5,3,2
1,9,8,8,3,4
1,6,7,7,2,3
1,7,2,6,8,3
1,9,8,6,2,4
1,6,6,5,3,1
1,6,4,5,3,2
1,7,7,7,3,3
1,6,7,6,7,3
1,5,5,5,0,0
1,5,2,5,4,1
2,5,1,2,7,3
2,6,6,5,3,2
2,6,4,5,7,1
2,9,7,9,3,4
2,5,2,5,3,1
2,7,7,7,2,4
2,8,7,7,1,2
2,9,8,7,2,1
2,8,7,6,2,2
2,6,9,7,8,4
2,6,4,5,14,1
2,8,7,7,3,4
2,7,7,6,0,0
2,6,6,6,3,3
3,5,1,1,7,4
3,6,2,5,1,1
3,5,8,5,3,1
3,6,7,5,6,1
3,7,5,9,3,4
3,6,3,5,7,1
3,9,7,7,3,4
3,7,6,7,1,2
3,8,7,5,8,2
3,7,8,5,3,3
3,8,6,8,3,3
3,7,7,5,7,4
3,5,6,6,4,1
3,5,5,4,0,0
4,9,9,2,3,4
4,8,4,4,3,4
4,9,8,5,3,3
4,7,6,6,8,3
4,6,2,5,3,1
4,7,5,6,3,2
4,9,6,7,3,3
4,9,8,6,2,2
4,2,3,5,0,0
4,9,6,5,3,3
4,2,1,2,16,4
4,5,5,6,0,0
4,8,8,6,3,4
4,7,6,5,0,0
5,7,5,1,3,4
5,3,7,3,16,3
5,8,8,5,3,4
5,8,5,8,6,4
5,6,3,5,3,3
5,9,6,6,7,4
5,8,5,6,3,2
5,7,6,5,7,1
5,4,3,5,0,0
5,7,6,5,7,2
5,7,3,4,8,3
5,7,5,6,0,0
5,6,5,5,3,1
5,6,5,5,0,0
6,3,7,3,14,1
6,5,1,1,14,4
6,3,3,6,14,2
6,8,7,6,4,3
6,4,5,1,11,4
6,5,1,9,14,3
6,7,6,8,2,4
6,6,4,5,4,1
6,8,6,5,5,1
6,7,7,7,7,1
6,6,6,4,13,2
6,5,5,7,4,4
6,5,6,6,8,3
6,7,7,7,0,0
7,3,7,1,9,3
7,3,1,1,8,4
7,9,9,7,4,3
7,9,8,9,3,4
7,7,8,7,7,4
7,6,8,5,8,1
7,3,7,7,16,3
7,7,6,5,7,1
7,6,7,6,7,2
7,9,9,8,2,4
7,5,6,4,7,3
7,5,5,6,7,1
7,6,8,8,0,0
7,5,8,3,11,3
8,7,6,5,4,3
8,1,1,1,14,4
8,8,7,6,2,4
8,6,6,5,4,1
8,6,1,6,2,1
8,5,1,8,6,2
8,6,2,5,6,1
8,5,5,5,5,1
8,4,5,5,14,1
8,5,5,5,3,1
8,7,7,7,0,0
8,6,5,6,4,1
8,7,6,5,0,0
8,8,6,6,2,3
9,5,3,2,3,4
9,8,6,5,1,3
9,7,6,5,3,3
9,8,3,8,3,4
9,6,2,5,7,2
9,6,3,5,3,1
9,9,5,5,3,4
9,8,7,6,3,2
9,8,5,5,3,3
9,8,6,6,3,4
9,7,6,7,3,4
9,5,5,4,0,0
9,7,5,5,3,3
9,8,6,5,4,3
10,1,1,1,14,4
10,6,3,7,6,1
10,7,3,6,5,2
10,9,3,9,2,4
10,7,6,5,3,3
10,5,5,5,16,1
10,6,3,5,3,1
10,3,2,7,15,1
10,2,2,3,14,1
10,5,3,7,0,0
10,5,4,5,8,1
10,6,6,6,8,3
10,6,6,4,0,0
10,5,5,5,6,1
11,1,1,1,14,4
11,5,3,3,13,2
11,7,7,5,7,2
11,4,4,3,14,4
11,8,8,7,1,4
11,6,6,7,1,1
11,4,3,5,14,1
11,6,5,8,4,1
11,5,4,4,7,2
11,7,6,5,9,1
11,5,5,5,0,0
11,5,3,6,15,1
11,7,8,7,0,0
11,5,8,7,3,4
11,8,6,6,2,3
12,5,3,3,7,4
12,8,6,7,3,4
12,7,3,8,2,3
12,5,2,5,14,1
12,8,7,7,4,3
12,9,9,8,3,4
12,7,5,6,2,2
12,9,9,7,3,4
12,5,4,5,16,1
12,7,7,6,3,4
12,7,5,7,3,3
12,6,5,4,3,2
12,5,8,6,0,0
12,5,5,7,1,3
13,4,1,1,8,2
13,7,7,7,3,4
13,6,6,3,11,3
13,7,5,7,3,3
13,8,3,6,1,3
13,7,5,5,3,2
13,4,4,4,8,4
13,6,3,7,4,2
13,1,5,9,14,4
13,5,3,5,6,1
13,5,3,5,0,0
13,6,5,5,8,3
13,7,6,5,0,0
13,6,6,7,6,3
14,1,1,1,14,4
14,5,1,8,15,3
14,6,6,5,13,1
14,6,6,7,14,2
14,5,1,5,14,4
14,7,7,5,3,3
14,1,1,1,9,4
14,5,1,7,4,1
14,5,6,5,13,1
14,5,4,5,3,1
14,7,5,5,7,1
14,6,7,7,3,2
14,5,2,5,14,1
14,4,5,4,15,1
14,6,6,5,0,0
15,1,1,1,10,4
15,3,6,3,9,3
15,9,9,7,3,4
15,6,4,7,14,1
15,7,7,5,7,3
15,9,7,7,3,4
15,9,7,7,2,4
15,9,7,5,3,4
15,9,8,7,3,4
15,5,5,3,9,3
15,7,7,7,3,3
15,7,6,6,3,3
15,9,9,9,3,4
15,7,7,7,2,3
15,7,7,6,0,0
16,5,3,1,7,4
16,5,2,9,11,1
16,6,3,1,5,1
16,7,1,8,4,2
16,6,3,5,3,2
16,7,6,5,2,3
16,7,5,6,8,3
16,6,5,5,7,1
16,5,3,5,8,1
16,2,2,6,0,0
16,7,7,5,3,4
16,7,7,7,2,3
16,4,4,5,8,2
16,6,6,5,0,0
17,5,1,1,3,1
17,7,4,5,5,2
17,6,3,3,3,2
17,7,3,6,3,4
17,9,4,7,3,4
17,6,2,5,3,1
17,7,3,5,3,3
17,5,2,5,2,1
17,6,6,5,3,3
17,1,3,9,11,4
17,7,5,5,15,2
17,7,2,3,0,0
17,6,5,5,3,1
17,4,4,5,0,0
18,1,1,1,3,2
18,4,2,5,15,2
18,7,3,3,4,4
18,6,5,3,9,1
18,6,7,3,7,3
18,5,1,5,3,1
18,6,6,5,3,3
18,6,3,6,6,3
18,7,2,7,3,2
18,7,2,5,6,2
18,6,6,3,3,4
18,7,5,5,6,3
18,7,5,5,0,0
18,6,5,6,4,1
18,5,5,4,0,0
19,1,1,1,11,4
19,6,5,6,3,1
19,5,3,3,5,2
19,8,8,7,4,3
19,7,3,6,4,3
19,5,1,5,14,2
19,7,3,7,3,2
19,6,3,5,1,1
19,5,2,5,3,1
19,5,5,5,13,4
19,5,1,5,3,1
19,5,2,3,0,0
19,7,6,6,4,2
19,6,4,3,0,0
20,1,1,1,11,4
20,8,4,9,7,4
20,9,9,3,3,4
20,4,7,4,14,4
20,5,1,5,9,1
20,5,1,5,3,1
20,6,3,6,1,2
20,4,6,4,14,1
20,3,2,5,14,1
20,5,3,5,11,4
20,4,6,7,14,3
20,5,3,5,7,2
20,5,5,6,7,1
20,6,8,8,0,0
21,7,5,5,7,4
21,7,7,8,2,4
21,1,3,3,9,3
21,3,7,4,10,1
21,3,4,3,9,3
21,4,5,5,4,2
21,6,2,4,6,2
21,4,4,5,9,2
21,5,2,5,4,1
21,5,3,3,10,3
21,7,3,7,6,3
21,5,2,2,6,2
21,4,4,6,15,1
21,3,6,5,0,0
22,7,3,1,8,2
22,7,6,3,9,2
22,7,5,5,7,3
22,7,1,8,3,2
22,4,3,5,9,1
22,5,1,4,2,1
22,5,2,5,7,2
22,4,2,3,9,1
22,8,2,5,2,3
22,3,6,5,9,4
22,5,3,5,9,3
22,5,3,2,0,0
22,5,5,6,8,2
22,7,8,4,0,0
23,5,1,1,7,4
23,3,2,7,14,3
23,6,3,4,8,3
23,5,3,5,5,2
23,7,7,5,4,3
23,7,6,7,2,3
23,6,6,5,3,3
23,9,6,7,2,4
23,7,1,5,3,3
23,9,9,9,0,0
23,6,3,2,7,2
23,7,3,9,3,3
23,5,6,6,7,3
23,6,5,5,0,0
24,5,1,1,9,1
24,7,8,3,3,3
24,4,1,7,9,2
24,7,7,7,3,3
24,7,6,5,4,3
24,8,5,8,4,4
24,6,3,7,7,2
24,8,4,5,6,3
24,5,1,5,0,0
24,9,9,9,0,0
24,8,2,6,6,4
24,7,3,3,3,3
24,5,4,5,9,1
24,6,5,5,0,0
25,5,1,1,7,1
25,2,7,2,9,3
25,2,2,8,15,1
25,9,5,4,6,4
25,6,6,4,9,2
25,6,1,5,9,2
25,8,8,3,2,3
25,7,7,3,7,3
25,6,3,5,3,1
